sentence,missingWord,translation,translationWithUnderline
"I went to lunch with some of my","friends","Ben arkadaşlarımdan bazıları ile öğle yemeğine gittim.","Ben <u>arkadaşlarımdan</u> bazıları ile öğle yemeğine gittim."
"She is studying for her final","exam","O final sınavı için çalışıyor.","O final <u>sınavı</u> için çalışıyor."
"We need to buy some","groceries","Biraz market alışverişi yapmamız gerekiyor.","Biraz <u>market alışverişi</u> yapmamız gerekiyor."
"The weather is very","beautiful","Hava çok güzel.","Hava çok <u>güzel</u>."
"I love reading","books","Kitap okumayı seviyorum.","<u>Kitap</u> okumayı seviyorum."
"Can you help me with my","homework","Ödevimde bana yardım edebilir misin?","<u>Ödevimde</u> bana yardım edebilir misin?"
"Let's go to the","cinema","Sinemaya gidelim.","<u>Sinemaya</u> gidelim."
"I'm very","tired","Çok yorgunum.","Çok <u>yorgunum</u>."
"She has a beautiful","voice","Onun güzel bir sesi var.","Onun güzel bir <u>sesi</u> var."
"We are planning a","vacation","Bir tatil planlıyoruz.","Bir <u>tatil</u> planlıyoruz."
"The food tastes","delicious","Yemek lezzetli tadıyor.","Yemek <u>lezzetli</u> tadıyor."
"I need to catch the","bus","Otobüsü yakalamam gerekiyor.","<u>Otobüsü</u> yakalamam gerekiyor."
"It's starting to","rain","Yağmur yağmaya başlıyor.","<u>Yağmur</u> yağmaya başlıyor."
"She works at a big","company","O büyük bir şirkette çalışıyor.","O büyük bir <u>şirkette</u> çalışıyor."
"I forgot my","password","Şifremi unuttum.","<u>Şifremi</u> unuttum."
"The movie was very","interesting","Film çok ilginçti.","Film çok <u>ilginçti</u>."
"He drives a red","car","O kırmızı bir araba kullanıyor.","O kırmızı bir <u>araba</u> kullanıyor."
"I'm learning to play the","guitar","Gitar çalmayı öğreniyorum.","<u>Gitar</u> çalmayı öğreniyorum."
"The baby is","sleeping","Bebek uyuyor.","Bebek <u>uyuyor</u>."
"We had dinner at a nice","restaurant","Güzel bir restoranda akşam yemeği yedik.","Güzel bir <u>restoranda</u> akşam yemeği yedik."
