word,sentence
you,Thank you.
the,What's the matter?
to,Listen to me.
and,And?
it,What is it?
of,Of course.
that,What's that?
in,Come in.
is,What is it?
me,Excuse me.
what,What?
this,What's this?
for,What for?
on,Come on.
my,"Oh, my God."
your,What's your name?
have,Where have you been?
we,Here we go.
do,What do you mean?
no,No.
don't,I don't know.
be,I'll be right back.
i'm,I'm sorry.
are,What are you doing?
was,What was that?
he,Where is he?
not,Why not?
it's,It's okay.
know,I don't know.
with,Come with me.
all,All right.
but,But why?
here,Here.
just,I just...
get,Get out!
so,So?
like,Like what?
go,Let's go.
right,All right.
if,If you say so.
out,Get out!
him,Get him!
up,Shut up!
can,Can I help you?
oh,Oh.
about,What are you talking about?
you're,You're right.
now,Now!
well,Well?
come,Come on.
at,Not at all.
there,There.
one,One.
they,Where are they?
that's,That's right.
got,I got it.
her,What's her name?
how,How are you?
will,I will.
yeah,Yeah.
want,What do you want?
see,I see.
she,Where is she?
good,Good.
think,What do you think?
as,As you wish.
yes,Yes.
why,Why?
did,What did you say?
his,What's his name?
from,What do you want from me?
i'll,I'll be right back.
going,What's going on?
when,When?
time,What time is it?
who,Who?
back,I'll be right back.
look,Look.
an,It was an accident.
take,Take it easy.
them,All of them.
he's,He's dead.
us,Excuse us.
can't,I can't.
been,Where have you been?
tell,Tell me.
okay,Okay.
would,Would you?
were,Where were you?
had,I had no idea.
or,Yes or no?
then,Then what?
man,"Oh, man."
some,Want some?
hey,Hey.
gonna,What are you gonna do?
say,What did you say?
where,Where?
our,We're on our way.
could,Could be.
didn't,I didn't.
too,Me too.
down,Sit down.
by,Stand by.
way,No way.
really,Really?
something,Is something wrong?
has,What has happened?
we're,We're here.
i've,I've got it.
very,Thank you very much.
make,What difference does it make?
more,No more.
never,Never mind.
what's,What's going on?
little,A little.
over,Over.
let,Let me go!
mr,Mr.
need,I need your help.
only,It's the only way.
please,Please.
give,Give it to me.
let's,Let's go.
off,Get off!
mean,What do you mean?
there's,There's more.
any,Any questions?
two,Two.
sir,"Yes, sir."
sorry,I'm sorry.
said,Who said that?
thank,Thank you.
love,I love you.
am,I am.
people,Who are these people?
sure,Sure.
should,What should I do?
because,Because...
much,Thank you very much.
even,Don't even think about it.
doing,What are you doing?
thing,Sure thing.
help,Help!
these,What are these?
she's,She's dead.
anything,Anything else?
uh,Uh-huh.
nothing,Nothing.
first,You first.
find,How did you find me?
must,I must go.
into,What's gotten into you?
still,Hold still.
wait,Wait.
again,Again.
life,You saved my life.
maybe,Maybe.
away,Go away!
day,Good day.
before,Have we met before?
call,I'll call you.
they're,They're here.
night,Good night.
work,Good work.
talk,Talk to me.
put,Put it down.
better,That's better.
after,After you.
god,"Oh, my God."
stop,Stop!
home,Go home.
won't,I won't.
thought,I thought so.
than,It's more than that.
those,What are those?
other,Some other time.
their,These are their stories.
great,Great.
long,How long?
last,Last night.
we'll,We'll see.
keep,Keep going.
told,I told you.
you've,You've got it.
old,How old are you?
i'd,I'd love to.
around,Turn around.
leave,Leave me alone.
new,Happy New Year.
always,Always.
things,What things?
money,Money.
does,What does that mean?
you'll,You'll see.
ever,Ever.
doesn't,It doesn't matter.
years,Two years.
name,What's your name?
isn't,Isn't it?
place,What is this place?
everything,Everything.
big,It's no big deal.
believe,I don't believe it.
hello,Hello.
nice,Nice to meet you.
made,I made a mistake.
feel,How do you feel?
father,Father!
guy,Who is this guy?
thanks,Thanks.
listen,Listen.
three,Three.
may,May I?
fine,Fine.
stay,Stay here.
lot,Thanks a lot.
huh,Huh?
enough,That's enough.
course,Of course.
house,This is my house.
through,Coming through.
coming,I'm coming.
wrong,What's wrong?
understand,I understand.
left,Left.
guys,"Hey, guys."
done,Well done.
kind,What kind?
hear,Can you hear me?
girl,Good girl.
every,Every day.
remember,Remember?
bad,Not bad.
happened,What happened?
another,Another one?
might,I might.
kill,Kill him!
ask,Why do you ask?
which,Which one?
wanted,You wanted to see me?
came,I'm glad you came.
mother,Mother!
boy,"Oh, boy."
own,Mind your own business.
being,For the time being.
mind,Never mind.
dead,He's dead.
try,I'll try.
show,I'll show you.
hi,Hi.
care,I don't care.
ok,OK.
son,Son of a bitch!
world,It's not the end of the world.
today,Not today.
else,What else?
morning,Good morning.
someone,Is someone there?
talking,What are you talking about?
same,Same here.
miss,I miss you.
next,Next.
car,Get in the car.
looking,What are you looking at?
getting,It's getting late.
wouldn't,I wouldn't know.
yourself,Help yourself.
found,I found it.
we've,We've met.
friend,A friend.
move,Move!
room,Go to your room.
hold,Hold on.
wasn't,It wasn't me.
dad,Dad!
real,For real?
went,What went wrong?
hell,What the hell?
wanna,I wanna talk to you.
many,How many?
saw,I saw it.
trying,I'm trying.
best,I'll do my best.
seen,Have you seen him?
job,Good job.
without,I can't live without you.
heard,You heard me.
matter,What's the matter?
men,Men.
gotta,I gotta go.
shit,Shit!
woman,A woman.
live,Where do you live?
guess,I guess.
baby,"Come on, baby."
ready,Ready?
together,Together.
head,Watch your head.
once,Once.
haven't,"No, I haven't."
already,Already?
yet,Not yet.
such,Such as?
run,Run!
use,It's no use.
knew,I knew it.
most,Most of the time.
pretty,Pretty good.
brother,Brother!
bring,Bring him in.
days,Three days.
tomorrow,Tomorrow.
while,It's been a while.
whole,That's the whole point.
wife,My wife.
you'd,You'd be surprised.
meet,Nice to meet you.
used,I'm used to it.
minute,Wait a minute.
excuse,Excuse me.
called,What's it called?
idea,Good idea.
took,What took you so long?
alone,Leave me alone.
family,Family?
happy,Happy birthday.
tonight,Tonight.
start,Don't start.
since,Since when?
myself,I can take care of myself.
gone,He's gone.
couldn't,I couldn't.
ain't,Ain't that right?
ah,Ah!
hope,I hope so.
fuck,Fuck!
open,Open the door!
killed,I killed him.
mom,Mom!
play,Let's play.
hard,It's hard to say.
few,A few.
looks,Looks good.
problem,No problem.
business,None of your business.
worry,Don't worry.
mrs,Mrs.
ago,That was a long time ago.
die,Die!
turn,Turn around.
until,Until now.
hand,Give me your hand.
watch,Watch out!
both,Both.
sit,Sit down.
face,What happened to your face?
friends,Friends?
says,Says who?
who's,Who's that?
bit,A little bit.
soon,Soon.
fucking,Fucking hell!
five,Five.
lost,Get lost!
school,School?
end,End of story.
year,Happy New Year.
saying,What are you saying?
heart,Cross my heart.
wants,Who wants to know?
police,Police!
forget,Forget it.
actually,Actually...
bye,Bye.
true,It's true.
case,Just in case.
later,See you later.
doctor,Doctor!
young,You're young.
anyone,Anyone?
also,And also...
beautiful,Beautiful.
door,Open the door!
late,It's too late.
eat,Eat.
dr,Dr.
dear,"Oh, dear."
damn,Damn!
under,You're under arrest.
easy,Take it easy.
pay,Pay attention.
each,You two know each other?
afraid,Don't be afraid.
four,Four.
shut,Shut up!
second,Wait a second.
kid,"Hey, kid."
cause,Cause of death?
having,Having fun?
death,Death.
everyone,Everyone.
check,Check.
minutes,Five minutes.
probably,Probably.
hit,Hit me.
drink,Drink.
aren't,Aren't you?
thinking,What are you thinking?
far,So far.
shall,Shall we?
somebody,Somebody help me!
everybody,Where is everybody?
eyes,Close your eyes.
knows,Who knows?
gave,Who gave it to you?
hands,Hands up!
happen,How did this happen?
water,Water.
mine,It's mine.
exactly,Exactly.
